Created At Month,Total Sales,Target,progress bar range,progress bar value,progress bar target,delta from target,% from target,delta direction,12mo min,12mo max,12mo range,candle value,candle target,% change PY,PY direction,% change PM,PM dir
2025-02-01,34110.97015309334,40082.88731825753,40082.88731825753,0.8510108037440701,1,-5971.9171651641955,-0.1489891962559299,neg,13733.252766872,54286.66208889498,40553.40932202298,0.5024908565493899,0.649751401716947,0.29452905380457794,pos,-0.010666286535832376,neg
2025-01-01,34478.7301684618,21502.63034176245,34478.7301684618,1,0.6236491377931088,12976.099826699348,0.6034656979382258,pos,13733.252766872,54286.66208889498,40553.40932202298,0.5115593916372339,0.1915838324022539,,neg,-0.09946710342907827,neg
2024-12-01,38287.03015708923,54286.66208889498,54286.66208889498,0.7052750838575012,1,-15999.631931805743,-0.29472491614249885,neg,13733.252766872,54286.66208889498,40553.40932202298,0.6054676487306588,1,,neg,0.07831561334358543,pos
2024-11-01,35506.33013498783,50082.27871274913,50082.27871274913,0.7089599564476128,1,-14575.9485777613,-0.29104004355238716,neg,13733.252766872,54286.66208889498,40553.40932202298,0.5368988139868113,0.896324786338923,,neg,0.12536769725958394,pos
2024-10-01,31550.870192427188,19041.711750310817,31550.870192427188,1,0.6035241384524853,12509.158442116372,0.6569345553669662,pos,13733.252766872,54286.66208889498,40553.40932202298,0.4393617632507937,0.13090043654001735,,neg,0.019470545381076298,pos
2024-09-01,30948.290105462074,33492.73201392734,33492.73201392734,0.9240300281443984,1,-2544.441908465269,-0.07596997185560166,neg,13733.252766872,54286.66208889498,40553.40932202298,0.424502837773525,0.48724582168051506,,neg,0.05391292150068713,pos
2024-08-01,29365.130148887634,29306.28546005868,29365.130148887634,1,0.9979961032513529,58.84468882895453,0.0020079204138359168,pos,13733.252766872,54286.66208889498,40553.40932202298,0.3854639509563151,0.38401290923595843,,neg,0.07184486117008484,pos
2024-07-01,27396.810128688812,15701.240964337594,27396.810128688812,1,0.5731047114823014,11695.569164351218,0.7448818339209937,pos,13733.252766872,54286.66208889498,40553.40932202298,0.3369274640590247,0.0485283045338646,,neg,-0.01755940441018373,neg
2024-06-01,27886.480110526085,32385.99195126065,32385.99195126065,0.8610661100791319,1,-4499.511840734565,-0.13893388992086803,neg,13733.252766872,54286.66208889498,40553.40932202298,0.3490021574084529,0.4599548964249246,,neg,-0.012389018087075883,neg
2024-05-01,28236.30014371872,38830.153684093006,38830.153684093006,0.7271745657624291,1,-10593.853540374286,-0.2728254342375709,neg,13733.252766872,54286.66208889498,40553.40932202298,0.3576283133603438,0.6188604444556985,,neg,-0.07313965201644214,neg
2024-04-01,30464.460158586502,16351.530970853248,30464.460158586502,1,0.5367412022314966,14112.929187733254,0.8630952791447895,pos,13733.252766872,54286.66208889498,40553.40932202298,0.41257215290721405,0.0645637012461826,,neg,0.12995469795858336,pos
2024-03-01,26960.780121207237,35377.667849131154,35377.667849131154,0.7620847206826091,1,-8416.887727923917,-0.23791527931739087,neg,13733.252766872,54286.66208889498,40553.40932202298,0.3261754702126088,0.5337261513671285,,neg,0.023175624249275453,pos
2024-02-01,26350.100102305412,13733.252766872,26350.100102305412,1,0.5211840833071619,12616.847335433413,0.9187078654714903,pos,13733.252766872,54286.66208889498,40553.40932202298,0.31111680981607864,0,,neg,,neg
